,index,Code,Geometry
0,0,Ciudad Autónoma de Buenos Aires,POINT (-58.44590845320815 -34.61448691831756)
1,1,Neuquén,POINT (-70.1187696137643 -38.64169774343586)
2,2,La Pampa,POINT (-65.4466510484998 -37.13157376976455)
3,3,Mendoza,POINT (-68.58312770133196 -34.62997935920163)
4,4,San Luis,POINT (-66.02812981955626 -33.75772574491338)
5,5,Córdoba,POINT (-63.80186076772338 -32.14291978255969)
6,6,Santa Fe,POINT (-60.94991396408506 -30.70706609809289)
7,7,Entre Ríos,POINT (-59.20144755145954 -32.05887354363561)
8,8,San Juan,POINT (-68.88949084869573 -30.8653679979741)
9,9,La Rioja,POINT (-67.18173596944035 -29.68577629832222)
10,10,Catamarca,POINT (-66.94768934330658 -27.33589276736469)
11,11,Tucumán,POINT (-65.36485177274744 -26.94806024531443)
12,12,Jujuy,POINT (-65.76432925266488 -23.31999029774879)
13,13,Chaco,POINT (-60.76582969474872 -26.38643104369346)
14,14,Formosa,POINT (-59.93245742884861 -24.89494806756105)
15,15,Santiago del Estero,POINT (-63.25238340501199 -27.78241591491145)
"16,16,""Tierra del Fuego, Antártida e Islas del Atlántico Sur"",POINT (-50.74275073408304 -82.52151679497766)"
17,17,Santa Cruz,POINT (-69.95576216717645 -48.81548518271786)
18,18,Chubut,POINT (-68.52675939433637 -43.78862335299021)
19,19,Río Negro,POINT (-67.22939812396761 -40.40577072031441)
20,20,Buenos Aires,POINT (-60.55722015563483 -36.67373207097285)
21,21,Corrientes,POINT (-57.80121920631557 -28.77430470881111)
22,22,Misiones,POINT (-54.65176651543597 -26.87543653283439)
23,23,Salta,POINT (-64.81450472261416 -24.29927456898446)
24,0,Zona 11,POINT (-63.7826725767526 -29.65597673627041)
25,1,Cordoba,POINT (-63.94022186862692 -31.65037751125833)
26,2,Zona 9,POINT (-64.0351852727679 -33.52414449438678)
27,3,Zona 14,POINT (-60.73210405075728 -29.76285347040249)
28,4,Zona 13,POINT (-59.33208831530474 -32.76581425703051)
29,5,Zona 12,POINT (-61.50201076685651 -32.19009600505274)
30,6,Rosario N,POINT (-61.15343078914564 -32.79690429040125)
31,7,Rosario S,POINT (-60.80010564215333 -33.35486154917515)
32,8,Zona 8,POINT (-62.4184990057958 -32.66200135530384)
33,9,Zona 10,POINT (-66.60462252738451 -33.32864315948401)
34,10,Zona 1,POINT (-69.36887728513523 -36.58435034574774)
35,11,B.Blanca,POINT (-62.50175049429057 -38.83921282099784)
36,12,Zona 2,POINT (-63.59016634538762 -37.69964728564693)
37,13,Quequen,POINT (-58.96920201164677 -38.22209199940819)
38,14,Zona 7,POINT (-62.60224107104887 -35.54830585883748)
39,15,Zona 6,POINT (-60.19183397228762 -34.68808123348217)
40,16,Zona 5,POINT (-59.33260995812108 -34.5457031486774)
41,17,Bs As,POINT (-58.55587451290461 -34.74386716606513)
42,18,Zona 17,POINT (-62.20567657974438 -24.65552770421931)
43,19,Zona 15,POINT (-62.8506083146346 -27.12228980910921)
44,20,Zona 16,POINT (-66.49276813086804 -26.46990237336266)
45,21,Zona 4,POINT (-58.49237621255237 -36.58564734121224)
46,22,Zona 3,POINT (-60.61061369617926 -37.87627513344705)
47,23,Resto del País,POINT (-53.39445605657397 -76.41087747409357)
48,24,Zona 18,POINT (-57.48956259705547 -28.97050813832338)
